generator,seed,target,target_is_hub,retention_pct,f1_full,f1_hif
ctgan,42,household_income,True,60.3,0.336283185840708,0.3507917708470413
ctgan,42,housing_cost,True,60.3,0.3722334004024145,0.39982753664846216
ctgan,42,poverty_status,True,60.3,0.3227990970654628,0.32865557865557865
ctgan,42,education,True,60.3,0.3370165745856354,0.3392070484581498
ctgan,42,tenure,False,60.3,0.3680686181397566,0.38588410755801206
ctgan,42,cost_burden_pct,False,60.3,0.31878181347597273,0.3511314518179507
ctgan,42,employment_status,False,60.3,0.33554817275747506,0.34758970641536785
ctgan,42,household_size,True,60.3,0.39994914823290106,0.4238264700898153
ctgan,42,age_group,False,60.3,0.3539225019117027,0.34994582881906827
ctgan,43,household_income,True,54.7,0.33220713825185233,0.3445749522308292
ctgan,43,housing_cost,True,54.7,0.35299276789693895,0.5072081198807328
ctgan,43,poverty_status,True,54.7,0.31584948688711517,0.3161221749832177
ctgan,43,education,True,54.7,0.4042291340344596,0.4715966386554622
ctgan,43,tenure,True,54.7,0.34594099795274214,0.3618369440588981
ctgan,43,cost_burden_pct,False,54.7,0.3416493416493417,0.36468129571577845
ctgan,43,employment_status,False,54.7,0.440296939561594,0.4461538461538462
ctgan,43,household_size,False,54.7,0.45252292778184605,0.4448357788416767
ctgan,43,age_group,False,54.7,0.5228031145717464,0.5768935962650686
ctgan,44,household_income,True,62.050000000000004,0.3150684931506849,0.36765614784699424
ctgan,44,housing_cost,True,62.050000000000004,0.3251177860467749,0.35783534399451356
ctgan,44,poverty_status,True,62.050000000000004,0.3197278911564626,0.3197278911564626
ctgan,44,education,True,62.050000000000004,0.3408517060414723,0.3347626879699248
ctgan,44,tenure,True,62.050000000000004,0.33702637482030606,0.34069824038702634
ctgan,44,cost_burden_pct,False,62.050000000000004,0.33993399339933994,0.3616195309916464
ctgan,44,employment_status,False,62.050000000000004,0.3464052287581699,0.3464052287581699
ctgan,44,household_size,False,62.050000000000004,0.5426829268292683,0.5916955789332767
ctgan,44,age_group,False,62.050000000000004,0.3204983012457531,0.3204983012457531
ctgan,45,household_income,True,64.5,0.34357377819548873,0.39521119182136133
ctgan,45,housing_cost,True,64.5,0.6381071503022722,0.6661324786324787
ctgan,45,poverty_status,True,64.5,0.4001886092475171,0.4874122778575074
ctgan,45,education,True,64.5,0.33035714285714285,0.3340049455078304
ctgan,45,tenure,True,64.5,0.5039955910719206,0.5373913826482374
ctgan,45,cost_burden_pct,False,64.5,0.3340049455078304,0.3288590604026846
ctgan,45,employment_status,False,64.5,0.34210526315789475,0.34210526315789475
ctgan,45,household_size,False,64.5,0.44367020320086314,0.45038269958430666
ctgan,45,age_group,False,64.5,0.336283185840708,0.336283185840708
ctgan,46,household_income,True,70.85000000000001,0.3429940056669589,0.3392070484581498
ctgan,46,housing_cost,True,70.85000000000001,0.43977591036414565,0.5594960545193688
ctgan,46,poverty_status,True,70.85000000000001,0.30236204013377926,0.33515731874145005
ctgan,46,education,True,70.85000000000001,0.33810524488297483,0.3419336860644991
ctgan,46,tenure,True,70.85000000000001,0.383410434044043,0.3859488290690891
ctgan,46,cost_burden_pct,False,70.85000000000001,0.5164698718943636,0.43676502784684085
ctgan,46,employment_status,False,70.85000000000001,0.33035714285714285,0.33035714285714285
ctgan,46,household_size,False,70.85000000000001,0.33184855233853006,0.33184855233853006
ctgan,46,age_group,False,70.85000000000001,0.5074968970032294,0.46810908271354523
ctgan,47,household_income,True,68.65,0.33095790700968697,0.3288590604026846
ctgan,47,housing_cost,True,68.65,0.3288590604026846,0.34758970641536785
ctgan,47,poverty_status,True,68.65,0.35889730336178227,0.4383908283412518
