dataset,generator,target,seed,arm,n_real_total,n_real_train,n_real_test,n_synthetic,test_size,target_is_hub,hubs,retention_pct,f1_full,accuracy_full,f1_filtered,accuracy_filtered
census_acs,ctgan,household_income,48,B_no_hub,2000,1400,600,2000,0.3,False,poverty_status|housing_cost|education|tenure|household_size,66.10000000000001,0.33034774185396804,0.47,0.3368416549009541,0.48333333333333334
census_acs,ctgan,household_income,48,C_blind,2000,1400,600,2000,0.3,False,poverty_status|housing_cost|education|tenure|household_size,81.45,0.33034774185396804,0.47,0.3387710406985723,0.4766666666666667
census_acs,ctgan,household_income,49,A_published,2000,1400,600,2000,0.3,True,household_income|housing_cost|poverty_status|education|household_size,71.15,0.338527611461067,0.505,0.35759462233848804,0.515
census_acs,ctgan,household_income,49,B_no_hub,2000,1400,600,2000,0.3,False,housing_cost|poverty_status|education|household_size|age_group,76.3,0.338527611461067,0.505,0.3466666666666667,0.51
census_acs,ctgan,household_income,49,C_blind,2000,1400,600,2000,0.3,False,housing_cost|poverty_status|education|household_size|age_group,93.60000000000001,0.338527611461067,0.505,0.3333333333333333,0.5
census_acs,ctgan,household_income,50,A_published,2000,1400,600,2000,0.3,True,household_income|poverty_status|housing_cost|education|tenure,71.2,0.5607419756026567,0.585,0.6792390545439673,0.695
census_acs,ctgan,household_income,50,B_no_hub,2000,1400,600,2000,0.3,False,poverty_status|housing_cost|education|tenure|household_size,85.85000000000001,0.5607419756026567,0.585,0.5701954416838787,0.6
census_acs,ctgan,household_income,50,C_blind,2000,1400,600,2000,0.3,False,poverty_status|housing_cost|education|tenure|age_group,92.65,0.5607419756026567,0.585,0.5663270661696123,0.5983333333333334
census_acs,ctgan,household_income,51,A_published,2000,1400,600,2000,0.3,True,household_income|housing_cost|poverty_status|education|household_size,66.35,0.37541863479387944,0.40166666666666667,0.48172757475083056,0.5233333333333333
census_acs,ctgan,household_income,51,B_no_hub,2000,1400,600,2000,0.3,False,housing_cost|poverty_status|education|household_size|tenure,80.05,0.37541863479387944,0.40166666666666667,0.3557164801404433,0.3883333333333333
census_acs,ctgan,household_income,51,C_blind,2000,1400,600,2000,0.3,False,housing_cost|poverty_status|education|household_size|age_group,85.05,0.37541863479387944,0.40166666666666667,0.428451707521475,0.43166666666666664
census_acs,vine,household_income,43,A_published,2000,1400,600,2000,0.3,True,household_income|poverty_status|housing_cost|education|tenure,79.14999999999999,0.5466091888319748,0.5483333333333333,0.6376811594202898,0.64
census_acs,vine,household_income,43,B_no_hub,2000,1400,600,2000,0.3,False,poverty_status|housing_cost|education|tenure|employment_status,88.05,0.5466091888319748,0.5483333333333333,0.5675826086956521,0.5683333333333334
census_acs,vine,household_income,43,C_blind,2000,1400,600,2000,0.3,False,poverty_status|housing_cost|education|age_group|tenure,95.8,0.5466091888319748,0.5483333333333333,0.5355239711855961,0.5416666666666666
census_acs,vine,household_income,44,A_published,2000,1400,600,2000,0.3,True,household_income|housing_cost|poverty_status|education|tenure,77.85,0.44166511573643263,0.44166666666666665,0.6366303296996366,0.6366666666666667
census_acs,vine,household_income,44,B_no_hub,2000,1400,600,2000,0.3,False,housing_cost|poverty_status|education|tenure|household_size,87.1,0.44166511573643263,0.44166666666666665,0.45313915406591876,0.455
