dataset,generator,arm,f1_full_mean,f1_filtered_mean,retention_mean_pct,label_floor_mean,n_valid_seeds,delta_f1_mean,paired_ttest_p,delta_f1_ci_low,delta_f1_ci_high
census_acs,ctgan,HIF,0.36061204718269513,0.40729378536345723,64.22,0.4662334426829979,10,0.046681738180762114,0.011016198674855853,0.013572190763877737,0.07979128559764649
census_acs,ctgan,Label model,0.36061204718269513,0.8630348871588207,57.21,0.4662334426829979,10,0.5024228399761256,8.757096468203313e-09,0.4458273383397809,0.5590183416124703
census_acs,vine,HIF,0.4808333095910422,0.6249366854696666,78.95500000000001,0.4662334426829979,10,0.14410337587862454,6.350354439853254e-06,0.10916609359657631,0.17904065816067277
census_acs,vine,Label model,0.4808333095910422,0.9350821703078414,53.25,0.4662334426829979,10,0.4542488607167992,2.992857023689991e-10,0.4192722853137273,0.4892254361198711
online_purchases,ctgan,HIF,0.40940228952436347,0.6205647554878586,19.60843373493976,0.8760116921990726,10,0.2111624659634952,0.013746491844622604,0.05465211522946717,0.3676728166975232
online_purchases,ctgan,Label model,0.40940228952436347,0.8900714844049918,23.042168674698797,0.8760116921990726,10,0.4806691948806283,5.3216103745519954e-05,0.32875616410350095,0.6325822256577557
online_purchases,vine,HIF,0.4578767020590915,0.8061253050963002,16.71686746987952,0.8760116921990726,10,0.34824860303720856,7.834834563827028e-08,0.2978848417919298,0.3986123642824873
online_purchases,vine,Label model,0.4578767020590915,0.9893749099323615,19.78915662650602,0.8760116921990726,10,0.5314982078732701,9.513244696680314e-10,0.48489740030347184,0.5780990154430683
