dataset,generator,arm,target_is_hub,retention_mean_pct,f1_full_mean,f1_filtered_mean,n_valid_seeds,delta_f1_mean,paired_ttest_p,delta_f1_ci_low,delta_f1_ci_high
census_acs,ctgan,A_published,True,64.22,0.36061204718269513,0.40729378536345723,10,0.046681738180762114,0.011016198674855853,0.013572190763877737,0.07979128559764649
census_acs,ctgan,B_no_hub,False,76.8,0.36061204718269513,0.3623868243238865,10,0.0017747771411914636,0.5482103369304004,-0.004660791000437301,0.008210345282820228
census_acs,ctgan,C_blind,False,86.79999999999998,0.36061204718269513,0.36685479366861856,10,0.00624274648592345,0.2919771695915079,-0.006373667289761436,0.018859160261608336
census_acs,vine,A_published,True,78.95500000000001,0.4808333095910422,0.6249366854696666,10,0.14410337587862454,6.350354439853254e-06,0.10916609359657631,0.17904065816067277
census_acs,vine,B_no_hub,False,88.19000000000001,0.4808333095910422,0.4852243807475521,10,0.004391071156509929,0.6954738430651517,-0.020181687930261843,0.028963830243281703
census_acs,vine,C_blind,False,94.595,0.4808333095910422,0.4672589706958101,10,-0.013574338895231968,0.10523479741695366,-0.03062508528354347,0.003476407493079531
online_purchases,ctgan,A_published,True,19.60843373493976,0.40940228952436347,0.6205647554878586,10,0.2111624659634952,0.013746491844622604,0.05465211522946717,0.3676728166975232
online_purchases,ctgan,B_no_hub,False,30.31626506024096,0.40940228952436347,0.4916923094272915,10,0.08229001990292799,0.08060744382386144,-0.012302290804340615,0.1768823306101966
online_purchases,ctgan,C_blind,False,23.62951807228916,0.40940228952436347,0.4934694857091982,10,0.08406719618483463,0.01554237723173847,0.020171575438905576,0.14796281693076369
online_purchases,vine,A_published,True,16.71686746987952,0.4578767020590915,0.8061253050963002,10,0.34824860303720856,7.834834563827028e-08,0.2978848417919298,0.3986123642824873
online_purchases,vine,B_no_hub,False,29.608433734939762,0.4578767020590915,0.5541770065603693,10,0.09630030450127772,0.005990904722383897,0.03533946745235141,0.15726114155020401
online_purchases,vine,C_blind,False,22.500000000000004,0.4578767020590915,0.48116242187521374,10,0.023285719816122163,0.5147341993496202,-0.054390638908516475,0.10096207854076081
