seed,error_type,corruption_level,f1_threshold_default,f1_matched_rate,gmm_f1_threshold_default,gmm_f1_matched_rate
42,random_injection,0.4,0.7097744360902256,0.7056603773584905,0.6011428571428571,0.7584905660377359
42,semantic_hallucination,0.4,0.7050147492625368,0.6679245283018868,0.6091954022988506,0.8867924528301887
42,row_duplication,0.4,0.4230055658627087,0.41132075471698115,0.5413173652694611,0.3886792452830189
42,feature_dropout,0.4,0.6163723916532905,0.5509433962264151,0.5863267670915412,0.7622641509433963
42,covariate_shift,0.4,0.004629629629629629,0.06415094339622641,0.27692307692307694,0.10566037735849057
43,random_injection,0.4,0.6789554531490015,0.6377358490566037,0.6064814814814815,0.6830188679245283
43,semantic_hallucination,0.4,0.726998491704374,0.6452830188679245,0.6043329532497149,0.9056603773584906
43,row_duplication,0.4,0.3879472693032015,0.3849056603773585,0.5507246376811594,0.41132075471698115
43,feature_dropout,0.4,0.6429725363489499,0.5924528301886792,0.6002344665885111,0.720754716981132
43,covariate_shift,0.4,0.014251781472684086,0.07924528301886792,0.2969187675070028,0.1471698113207547
44,random_injection,0.4,0.6878787878787879,0.690566037735849,0.6062717770034843,0.7283018867924528
44,semantic_hallucination,0.4,0.7222222222222222,0.6716981132075471,0.6120092378752887,0.8981132075471698
44,row_duplication,0.4,0.3849056603773585,0.3849056603773585,0.5470085470085471,0.4075471698113208
44,feature_dropout,0.4,0.6061588330632091,0.5773584905660377,0.5885111371629543,0.7056603773584905
44,covariate_shift,0.4,0.004618937644341801,0.045283018867924525,0.3085553997194951,0.1320754716981132
45,random_injection,0.4,0.7026194144838213,0.6792452830188679,0.6004672897196262,0.720754716981132
45,semantic_hallucination,0.4,0.7106446776611695,0.6226415094339622,0.6148491879350348,0.8905660377358491
45,row_duplication,0.4,0.40370370370370373,0.39622641509433965,0.5336658354114713,0.43018867924528303
45,feature_dropout,0.4,0.6388443017656501,0.5811320754716981,0.6009615384615384,0.7358490566037735
45,covariate_shift,0.4,0.004608294930875576,0.06792452830188679,0.3055162659123055,0.13584905660377358
46,random_injection,0.4,0.7175572519083969,0.6981132075471698,0.6139534883720931,0.7358490566037735
46,semantic_hallucination,0.4,0.7213114754098361,0.690566037735849,0.6184364060676779,0.8943396226415095
46,row_duplication,0.4,0.41005802707930367,0.43018867924528303,0.5452292441140025,0.4
46,feature_dropout,0.4,0.6174055829228243,0.5773584905660377,0.5813397129186603,0.7132075471698113
46,covariate_shift,0.4,0.013856812933025405,0.033962264150943396,0.3215796897038082,0.14339622641509434
47,random_injection,0.4,0.7184170471841704,0.6981132075471698,0.6220657276995305,0.7358490566037735
47,semantic_hallucination,0.4,0.7358778625954199,0.6566037735849056,0.6213364595545134,0.8981132075471698
47,row_duplication,0.4,0.37254901960784315,0.3886792452830189,0.5544554455445545,0.4188679245283019
47,feature_dropout,0.4,0.6533996683250415,0.5924528301886792,0.5988023952095808,0.7433962264150943
47,covariate_shift,0.4,0.014457831325301205,0.06792452830188679,0.291970802919708,0.1471698113207547
48,random_injection,0.4,0.6646153846153846,0.6566037735849056,0.6039952996474736,0.690566037735849
48,semantic_hallucination,0.4,0.7286356821589205,0.660377358490566,0.6148491879350348,0.8830188679245283
48,row_duplication,0.4,0.4015151515151515,0.4037735849056604,0.5531400966183575,0.4188679245283019
48,feature_dropout,0.4,0.5966666666666667,0.5660377358490566,0.5822485207100592,0.7320754716981132
48,covariate_shift,0.4,0.004618937644341801,0.06037735849056604,0.3142857142857143,0.13584905660377358
49,random_injection,0.4,0.676829268292683,0.6716981132075471,0.6006825938566553,0.7056603773584905
49,semantic_hallucination,0.4,0.7192716236722306,0.6943396226415094,0.6057142857142858,0.8830188679245283
49,row_duplication,0.4,0.4007421150278293,0.4,0.5600933488914819,0.4037735849056604
49,feature_dropout,0.4,0.6073131955484896,0.5509433962264151,0.5807909604519774,0.7622641509433963
49,covariate_shift,0.4,0.018433179723502304,0.052830188679245285,0.2900552486187845,0.07924528301886792
50,random_injection,0.4,0.6776611694152923,0.6716981132075471,0.5968109339407744,0.6943396226415094
50,semantic_hallucination,0.4,0.7103658536585366,0.6716981132075471,0.6043329532497149,0.8452830188679246
50,row_duplication,0.4,0.4306569343065693,0.4188679245283019,0.5657741559953434,0.4377358490566038
50,feature_dropout,0.4,0.6193548387096774,0.5811320754716981,0.5842956120092379,0.720754716981132
50,covariate_shift,0.4,0.013793103448275862,0.045283018867924525,0.27412587412587414,0.06037735849056604
51,random_injection,0.4,0.7105666156202144,0.6867924528301886,0.6069767441860465,0.7433962264150943
51,semantic_hallucination,0.4,0.7208271787296898,0.6716981132075471,0.6064073226544623,0.9207547169811321
51,row_duplication,0.4,0.416988416988417,0.42641509433962266,0.5528846153846154,0.4188679245283019
51,feature_dropout,0.4,0.6389776357827476,0.5811320754716981,0.6025791324736225,0.7660377358490567
51,covariate_shift,0.4,0.018518518518518517,0.06415094339622641,0.2624821683309558,0.15471698113207547
