dataset,generator,seed,real_rows,syn_rows,aggregate_composite,correlation_distance,moment_matching,alpha_precision,beta_recall,ks_similarity,hif_score,hif_violation_rate,median_penalty,p90_penalty,p99_penalty,n_broken_rows,n_suspicious_rows
adult,gaussian_copula,42,5000,3000,0.6878,96.7,91.62,0,0,0.8433,0.8042,0.158,0.0077,0.7096,0.9784,474,773
adult,ctgan,42,5000,3000,0.6867,94.49,86.55,0,0,0.9343,0.7229,0.2443,0.0956,0.8865,0.9868,733,1176
