seed,generator,full_f1,rule_f1,hif_f1,full_acc,rule_acc,hif_acc,retention_rule,retention_hif,hif_score
42,gaussian_copula,0.9433175882189497,0.9383125995126139,0.9499799919967987,0.9433333333333334,0.9383333333333334,0.95,99.45,99.4,0.9441
43,gaussian_copula,0.9549988749718743,0.9566661851798354,0.9466660740674897,0.955,0.9566666666666667,0.9466666666666667,99.5,99.25,0.9357
44,gaussian_copula,0.944974168429068,0.9382714332983908,0.9416301855326246,0.945,0.9383333333333334,0.9416666666666667,97.39999999999999,97.1,0.9209
45,gaussian_copula,0.9416626154594069,0.9449986249656241,0.9449986249656241,0.9416666666666667,0.945,0.945,98.35000000000001,98.15,0.9271
46,gaussian_copula,0.9533001245330013,0.9499727629487165,0.9549718574108819,0.9533333333333334,0.95,0.955,98.15,97.95,0.9276
47,gaussian_copula,0.9432930083615014,0.9449815076734125,0.9449656035021888,0.9433333333333334,0.945,0.945,98.7,98.5,0.9346
48,gaussian_copula,0.9383125995126139,0.9433232574679943,0.936649069185885,0.9383333333333334,0.9433333333333334,0.9366666666666666,99.0,98.85000000000001,0.9343
49,gaussian_copula,0.93999399939994,0.9349781454322148,0.93999399939994,0.94,0.935,0.94,99.45,99.3,0.9436
50,gaussian_copula,0.9245757385292269,0.9296553110240177,0.9279633450695377,0.925,0.93,0.9283333333333333,99.7,99.6,0.9436
51,gaussian_copula,0.9333333333333333,0.9316664768513245,0.9316619209667338,0.9333333333333333,0.9316666666666666,0.9316666666666666,99.4,99.25,0.9417
