dataset,generator,seed,n_rows,flag_rate,base_violation_rate,confirmation_rate_flagged,confirmation_rate_unflagged,n_flagged,n_unflagged,median_severity_flagged,median_severity_unflagged,spearman_penalty_severity
online_purchases,vine,42,664,0.9669,1.0,1.0,1.0,642,22,1.0218,0.2665,0.0325
online_purchases,vine,43,664,0.9699,1.0,1.0,1.0,644,20,0.9459,0.2017,0.1157
online_purchases,vine,44,664,0.9654,1.0,1.0,1.0,641,23,1.1523,0.2359,0.1954
online_purchases,vine,45,664,0.9684,1.0,1.0,1.0,643,21,0.9182,0.2621,0.0776
online_purchases,vine,46,664,0.9759,1.0,1.0,1.0,648,16,0.9873,0.2097,0.1382
online_purchases,vine,47,664,0.9774,1.0,1.0,1.0,649,15,0.9755,0.3308,0.0895
online_purchases,vine,48,664,0.9849,1.0,1.0,1.0,654,10,1.0284,0.2705,0.1153
online_purchases,vine,49,664,0.9699,1.0,1.0,1.0,644,20,1.001,0.302,0.1499
online_purchases,vine,50,664,0.9789,1.0,1.0,1.0,650,14,1.0464,0.1979,0.1664
online_purchases,vine,51,664,0.9699,1.0,1.0,1.0,644,20,1.1121,0.2202,0.1524
online_purchases,ctgan,42,664,0.8765,0.994,1.0,0.9512,582,82,4.9869,460000000.0,-0.0129
online_purchases,ctgan,43,664,0.9247,1.0,1.0,1.0,614,50,4425000000.0,4485000000.0,0.0088
online_purchases,ctgan,44,664,0.9849,1.0,1.0,1.0,654,10,1.1082,0.9713,0.0664
online_purchases,ctgan,45,664,0.9804,0.9985,0.9985,1.0,651,13,12.107,0.37,-0.0277
online_purchases,ctgan,46,664,0.988,1.0,1.0,1.0,656,8,1.0,0.7003,0.0249
online_purchases,ctgan,47,664,0.9925,0.9985,0.9985,1.0,659,5,260000000.0,6520000000.0,0.0587
online_purchases,ctgan,48,664,0.9262,1.0,1.0,1.0,615,49,55.1333,10340000000.0,-0.028
online_purchases,ctgan,49,664,0.9804,0.997,0.9969,1.0,651,13,10.2945,2.0,0.0215
online_purchases,ctgan,50,664,0.9563,1.0,1.0,1.0,635,29,3.5084,0.3441,0.196
