ablation,retention_mean,f1_mean,f1_sem,accuracy_mean,violation_rate_mean,hif_score_mean
No filtering,100.0,0.3605,0.0176,,0.0,
LSE-only,27.2,0.8117,0.0112,,0.7281,0.3672
NIC-only,85.64,0.3818,0.0183,,0.1069,0.7345
Rules-only,97.16,0.3684,0.0181,,0.0284,0.9716
LSE + NIC,16.22,0.8338,0.0066,,0.8363,0.2712
Full HIF (arith.),95.3,0.3568,0.015,,0.0473,0.6911
Full HIF (geom.),16.0,0.8377,0.0067,,0.8384,0.2655
