dataset,generator,target,target_is_hub,seed,retention,violation_rate,f1_full,f1_filtered
census_acs,ctgan,household_income,True,42,63.949999999999996,0.3605,0.46254513902977223,0.6067603996453133
census_acs,ctgan,housing_cost,True,42,63.949999999999996,0.3605,0.35238486842105265,0.3832608719340111
census_acs,ctgan,poverty_status,True,42,63.949999999999996,0.3605,0.3294246579306204,0.344033648240768
census_acs,ctgan,education,True,42,63.949999999999996,0.3605,0.3901342810913969,0.41010576592697423
census_acs,ctgan,tenure,True,42,63.949999999999996,0.3605,0.35189069001740914,0.3489714419946978
census_acs,ctgan,cost_burden_pct,False,42,63.949999999999996,0.3605,0.3464052287581699,0.3464052287581699
census_acs,ctgan,employment_status,False,42,63.949999999999996,0.3605,0.5340640447023426,0.5342412584618546
census_acs,ctgan,household_size,False,42,63.949999999999996,0.3605,0.32541224807062347,0.32352443767968886
census_acs,ctgan,age_group,False,42,63.949999999999996,0.3605,0.6106272577630842,0.5835385786574716
census_acs,ctgan,household_income,True,43,67.2,0.328,0.34274586173320354,0.4152046783625731
census_acs,ctgan,housing_cost,True,43,67.2,0.328,0.3416493416493417,0.37694704049844235
census_acs,ctgan,poverty_status,True,43,67.2,0.328,0.32828477302870834,0.35226373626373625
census_acs,ctgan,education,True,43,67.2,0.328,0.3435448577680525,0.36636292317904773
census_acs,ctgan,tenure,True,43,67.2,0.328,0.37446096615646784,0.38631776932687156
census_acs,ctgan,cost_burden_pct,False,43,67.2,0.328,0.4585915418198225,0.45181249776465654
census_acs,ctgan,employment_status,False,43,67.2,0.328,0.3360899190495603,0.33967506783040763
census_acs,ctgan,household_size,False,43,67.2,0.328,0.36557153124541397,0.38752556616765466
census_acs,ctgan,age_group,False,43,67.2,0.328,0.49976438177402405,0.4894327030033371
census_acs,ctgan,household_income,True,44,59.150000000000006,0.4085,0.3348115299334812,0.3422222222222222
census_acs,ctgan,housing_cost,True,44,59.150000000000006,0.4085,0.3543008715422509,0.3964403195488722
census_acs,ctgan,poverty_status,True,44,59.150000000000006,0.4085,0.6252704117499751,0.6235943308187604
census_acs,ctgan,education,True,44,59.150000000000006,0.4085,0.35783534399451356,0.5631370917412107
census_acs,ctgan,tenure,True,44,59.150000000000006,0.4085,0.3711572141103855,0.39271255060728744
census_acs,ctgan,cost_burden_pct,False,44,59.150000000000006,0.4085,0.3348115299334812,0.3348115299334812
census_acs,ctgan,employment_status,False,44,59.150000000000006,0.4085,0.47053437545614984,0.5055314547923891
