dataset,generator,target,target_is_hub,retention,n_valid,f1_full,f1_filtered,delta_f1,p_ttest,p_wilcoxon,ci_low,ci_high
census_acs,ctgan,household_income,True,63.3375,8,0.35472573067374014,0.4109499376876053,0.056224207013865095,0.0030002027419079487,0.0078125,0.02629465842994549,0.0861537555977847
census_acs,ctgan,housing_cost,True,63.3375,8,0.4208210489816308,0.5247294125051671,0.10390836352353636,0.0019958319509560626,0.0078125,0.05258197096478461,0.1552347560822881
census_acs,ctgan,poverty_status,True,63.3375,8,0.37949373177732415,0.47081433157715424,0.0913205997998301,0.0025919632437513174,0.0078125,0.044009062098159864,0.13863213750150033
census_acs,ctgan,education,True,63.3375,8,0.4087762416621884,0.5137270701786008,0.10495082851641237,0.00035505357036419536,0.0078125,0.06638926872564782,0.1435123883071769
census_acs,ctgan,tenure,True,63.3375,8,0.3778899827123056,0.4078683081066838,0.029978325394378183,0.10910307758714004,0.3125,-0.008647288188141922,0.06860393897689829
census_acs,ctgan,cost_burden_pct,False,63.3375,8,0.43044048861464385,0.450337361784664,0.019896873170020188,0.15623468750795644,0.1953125,-0.00972455372289361,0.049518300062933986
census_acs,ctgan,employment_status,False,63.3375,8,0.43711213348182526,0.4570626255953775,0.019950492113552216,0.17973856528296103,0.3125,-0.01170242143163669,0.05160340565874112
census_acs,ctgan,household_size,False,63.3375,8,0.41365076640191145,0.43344658186913415,0.019795815467222665,0.19473127583088065,0.3125,-0.012850021686346337,0.052441652620791666
census_acs,ctgan,age_group,False,63.3375,8,0.37235425897465635,0.3707218150489392,-0.0016324439257171322,0.7707095882527362,0.578125,-0.01437286713046689,0.011107979279032626
census_acs,vine,household_income,True,76.39,10,0.48331968465838493,0.6909815489788826,0.2076618643204977,3.52967886607528e-09,0.001953125,0.1865552140287054,0.22876851461229003
census_acs,vine,housing_cost,True,76.39,10,0.4930502528491809,0.6066809231599176,0.11363067031073674,2.474298373735529e-05,0.001953125,0.08104753376764876,0.14621380685382473
census_acs,vine,poverty_status,True,76.39,10,0.4766645260059912,0.6014170552800178,0.12475252927402651,9.056344357689248e-10,0.001953125,0.11387483334932376,0.13563022519872925
census_acs,vine,education,True,76.39,10,0.4849038465922802,0.5669564355580748,0.08205258896579476,6.302527685382753e-07,0.001953125,0.06694355594881121,0.0971616219827783
census_acs,vine,tenure,True,76.39,10,0.48365591662818314,0.513205842350535,0.02954992572235187,0.025174020260330516,0.01953125,0.004614398655727367,0.054485452788976374
census_acs,vine,cost_burden_pct,False,76.39,10,0.4914866190612222,0.5114719170963993,0.019985298035176995,0.01560482933220031,0.01953125,0.004782771404455714,0.035187824665898274
census_acs,vine,employment_status,False,76.39,10,0.488383146793102,0.4867808475057428,-0.0016022992873592433,0.8511363549362482,0.6953125,-0.020369106124907024,0.01716450755018854
census_acs,vine,household_size,False,76.39,10,0.49777593639186424,0.5121508167461907,0.014374880354326514,0.14905143703538137,0.064453125,-0.006234083013985361,0.03498384372263839
census_acs,vine,age_group,False,76.39,10,0.4872085528932074,0.4946922365861197,0.007483683692912318,0.45182302649261546,0.556640625,-0.014042962529768735,0.029010329915593373
credit,ctgan,pay_2,True,29.74,10,0.11642164968524496,0.13746257495021486,0.021040925264969916,0.008534064452325246,0.001953125,0.006829311157875884,0.03525253937206395
credit,ctgan,pay_3,True,29.74,10,0.11762176089557339,0.14660476934933536,0.028983008453762005,0.036516820195466225,0.013671875,0.00226567153325663,0.05570034537426738
credit,ctgan,pay_5,True,29.74,10,0.1146486646070504,0.13795652935509506,0.023307864748044665,0.11230283551239924,0.037109375,-0.006654026093147573,0.053269755589236904
credit,ctgan,pay_4,True,29.74,10,0.10898269487261618,0.1286032981444325,0.0196206032718163,0.022550837365601394,0.01953125,0.003468839323839578,0.035772367219793016
credit,ctgan,pay_6,True,29.74,10,0.1123555185839686,0.12729694871573888,0.01494143013177027,0.008848287949230671,0.009765625,0.0047806331916898995,0.02510222707185064
credit,ctgan,default_payment,False,29.74,10,0.44682354131650576,0.45821686759739205,0.011393326280886362,0.06270329593010764,0.083984375,-0.0007452444509608164,0.02353189701273354
credit,ctgan,limit_bal,False,29.74,10,0.3996875927175069,0.40855924349866546,0.00887165078115854,0.42198310429492747,0.4921875,-0.014983894754536457,0.032727196316853537
credit,ctgan,age,False,29.74,10,0.3744743310311852,0.3833075217666413,0.008833190735456015,0.33516816349149464,0.275390625,-0.01079154447862339,0.028457925949535418
credit,ctgan,pay_0,False,29.74,10,0.10296000518783624,0.12254530997657051,0.019585304788734253,0.017135062453135765,0.01953125,0.0043930224609662425,0.034777587116502265
credit,ctgan,bill_amt1,False,29.74,10,0.3908722251876958,0.4061451283643578,0.015272903176661917,0.5158687758085946,0.25,-0.03581555906379026,0.0663613654171141
credit,ctgan,pay_amt1,False,29.74,10,0.36103802705459154,0.3613709992859765,0.00033297223138483714,0.9860555539886003,0.1640625,-0.04158539438102736,0.04225133884379703
credit,vine,pay_2,True,43.42,10,0.10061134337452753,0.10661946252866975,0.0060081191541422095,0.15902373190800773,0.01953125,-0.0028430220687022953,0.014859260376986715
credit,vine,pay_3,True,43.42,10,0.10370779846142353,0.10697100245312494,0.0032632039917014064,0.0076898893815694844,0.005859375,0.001101528144317806,0.005424879839085007
credit,vine,pay_5,True,43.42,10,0.11210482395432116,0.1171341182205782,0.005029294266257041,0.21108576926590286,0.064453125,-0.003420399464274042,0.013478987996788124
credit,vine,pay_4,True,43.42,10,0.10515561364769037,0.11490968611776953,0.009754072470079141,0.19554292934579987,0.0390625,-0.00602680101745481,0.025534945957613093
credit,vine,pay_6,True,43.42,10,0.10385708099957802,0.10942070605388779,0.005563625054309759,0.02347862572083538,0.01953125,0.0009421903115567447,0.010185059797062773
credit,vine,default_payment,False,43.42,10,0.4389561760707935,0.4430423184989859,0.0040861424281923965,0.10277908353782844,0.15234375,-0.0010043372548687755,0.009176622111253568
credit,vine,limit_bal,False,43.42,10,0.49220413203150937,0.4744237258661414,-0.017780406165367912,0.29697470691045885,0.556640625,-0.05411248968120913,0.018551677350473306
credit,vine,age,False,43.42,10,0.4807947753327639,0.4916178296130112,0.010823054280247307,0.25618808208089916,0.375,-0.009369504107063355,0.03101561266755797
credit,vine,pay_0,False,43.42,10,0.09246639672605277,0.09881002177533557,0.006343625049282794,0.02826401670187577,0.01953125,0.0008457409502255608,0.011841509148340028
credit,vine,bill_amt1,False,43.42,10,0.5054604162040406,0.4968047198517139,-0.00865569635232677,0.7806187768558911,1.0,-0.07688331686290537,0.05957192415825183
credit,vine,pay_amt1,False,43.42,10,0.46151531905807,0.5054121421174089,0.04389682305933898,0.04601461136027237,0.048828125,0.0009637796818497205,0.08682986643682825
