dataset,generator,target,seed,f1_full,f1_hif,retention_hif,f1_label_model,retention_label_model,label_floor,hif_violation_rate
census_acs,ctgan,household_income,42,0.5010103001330639,0.5573769010963202,64.95,0.9331878312770032,50.6,0.4761309523809524,35.05
census_acs,ctgan,household_income,43,0.5080703385993466,0.5484526242367136,56.49999999999999,0.9315066586108103,58.15,0.4761309523809524,43.5
census_acs,ctgan,household_income,44,0.36456996148908855,0.5402298850574713,59.150000000000006,0.9399893314366998,46.45,0.4826947637292465,40.849999999999994
census_acs,ctgan,household_income,45,0.3365294221466623,0.39352248318849936,66.14999999999999,0.9399673155384598,47.15,0.4686458333333333,33.85
census_acs,ctgan,household_income,46,0.3814975654691407,0.41458073030000986,75.25,0.6828557731312461,76.85,0.48714483714483714,24.75
census_acs,ctgan,household_income,47,0.4052967098789201,0.5287288993024123,68.10000000000001,0.9162160954466241,65.85,0.4541586073500967,31.900000000000002
census_acs,ctgan,household_income,48,0.3392070484581498,0.4266889145595345,51.2,0.9228800393423567,62.55,0.4542319749216301,48.8
census_acs,ctgan,household_income,49,0.3348115299334812,0.34589558719729196,70.45,0.9007065542088921,43.1,0.47606516290726814,29.549999999999997
census_acs,ctgan,household_income,50,0.3197278911564626,0.3368416549009541,57.25,0.9283172047043918,33.2,0.48441558441558447,42.75
census_acs,ctgan,household_income,51,0.3333333333333333,0.34561610207513377,63.4,0.8993006993006993,39.4,0.4749342105263158,36.6
census_acs,vine,household_income,42,0.5768974737958502,0.7434256311645626,77.35,0.9483159617538117,54.949999999999996,0.4761309523809524,22.650000000000002
census_acs,vine,household_income,43,0.5777128057618,0.7433304814497939,79.10000000000001,0.9466642961909417,52.75,0.4761309523809524,20.9
census_acs,vine,household_income,44,0.43153876288831655,0.6849571191634417,72.95,0.93999399939994,50.3,0.4826947637292465,27.05
census_acs,vine,household_income,45,0.5004919397563006,0.7226696547377267,74.95,0.9449998472217979,51.65,0.4686458333333333,25.05
census_acs,vine,household_income,46,0.5292467948717949,0.7131293364170077,74.4,0.9415483019781725,51.449999999999996,0.48714483714483714,25.6
census_acs,vine,household_income,47,0.4667495016955295,0.6568617784025761,74.8,0.9349954857976248,53.7,0.4541586073500967,25.2
census_acs,vine,household_income,48,0.4415906609510739,0.6629317115299156,73.35000000000001,0.9449986249656241,52.7,0.4542319749216301,26.650000000000002
census_acs,vine,household_income,49,0.46310386745306376,0.7018725086255988,77.4,0.9433106575963719,52.300000000000004,0.47606516290726814,22.6
census_acs,vine,household_income,50,0.4540521739130435,0.6950265874257116,78.14999999999999,0.9280292569439215,50.949999999999996,0.48441558441558447,21.85
census_acs,vine,household_income,51,0.39181286549707606,0.6464646464646464,77.2,0.9216664490734696,53.300000000000004,0.4749342105263158,22.8
online_purchases,ctgan,item_total,42,0.3006993006993007,0.3006993006993007,28.313253012048197,0.9396135265700483,39.45783132530121,0.8427125506072874,71.6867469879518
online_purchases,ctgan,item_total,43,0.3535436017828587,0.35581140350877194,21.084337349397593,0.9698067632850241,21.987951807228914,0.8710918114143921,78.91566265060241
online_purchases,ctgan,item_total,44,0.33774834437086093,0.5597428898476711,10.993975903614457,0.9649991249781245,10.843373493975903,0.9009375000000001,89.00602409638554
online_purchases,ctgan,item_total,45,0.3623947112319206,0.6659273255017937,20.632530120481928,0.9849816024630171,10.240963855421686,0.8978205128205129,79.36746987951807
online_purchases,ctgan,item_total,46,0.4032118055555556,0.7409523809523809,14.156626506024098,0.9797077922077921,16.566265060240966,0.8690196078431373,85.8433734939759
online_purchases,ctgan,item_total,47,0.3373180873180873,0.7314022383146808,17.319277108433734,0.9849906191369606,7.530120481927711,0.8775337837837838,82.68072289156626
online_purchases,ctgan,item_total,48,0.332896910751582,0.322884012539185,23.19277108433735,0.9699248120300752,12.048192771084338,0.8666666666666667,76.80722891566265
online_purchases,ctgan,item_total,49,0.3442622950819672,0.3442622950819672,15.060240963855422,0.9899638699317543,11.144578313253012,0.8920366795366795,84.93975903614458
online_purchases,ctgan,item_total,50,0.5647279549718573,0.8945544927317919,13.855421686746988,0.9499799919967987,24.096385542168676,0.8694078947368421,86.14457831325302
online_purchases,ctgan,item_total,51,0.472733197073373,0.46910755148741423,22.13855421686747,0.9297470895222801,46.536144578313255,0.8892512077294685,77.86144578313254
online_purchases,vine,item_total,42,0.4797919167667067,0.8249956248906223,15.66265060240964,0.9898000815993472,21.536144578313255,0.8427125506072874,84.33734939759037
online_purchases,vine,item_total,43,0.5377349010149733,0.8497596153846154,14.60843373493976,0.9899839743589745,19.427710843373493,0.8710918114143921,85.39156626506023
online_purchases,vine,item_total,44,0.5849896247406186,0.9249831212022706,13.403614457831326,0.9849816024630171,19.57831325301205,0.9009375000000001,86.59638554216868
online_purchases,vine,item_total,45,0.4739347178035522,0.9447666390499863,14.006024096385541,0.9849906191369606,19.728915662650603,0.8978205128205129,85.99397590361446
online_purchases,vine,item_total,46,0.3946216385240775,0.8930508517735734,15.512048192771086,0.9848633921138272,20.783132530120483,0.8690196078431373,84.48795180722891
online_purchases,vine,item_total,47,0.41463414634146345,0.8740903024350936,15.36144578313253,0.9849695633658158,21.987951807228914,0.8775337837837838,84.63855421686746
online_purchases,vine,item_total,48,0.33418437586042904,0.7623802421699234,12.650602409638553,0.9748939268409028,18.82530120481928,0.8666666666666667,87.34939759036145
online_purchases,vine,item_total,49,0.3594234811330197,0.7524687294272547,13.55421686746988,0.9899638699317543,18.072289156626507,0.8920366795366795,86.44578313253012
online_purchases,vine,item_total,50,0.45211038961038963,0.8693598633303186,14.759036144578314,0.9949968730456535,20.180722891566266,0.8694078947368421,85.2409638554217
online_purchases,vine,item_total,51,0.4666666666666667,0.7453310696095077,15.210843373493976,0.99,17.620481927710845,0.8892512077294685,84.78915662650603
