seed,threshold,retention_frontier,full_f1,rule_f1,filtered_f1,retention
42,0.3,0.7,0.46254513902977223,0.46082465450211413,0.8392121394834691,29.05
42,0.5,0.5,0.46254513902977223,0.46082465450211413,0.6067603996453133,63.95
42,0.7,0.3,0.46254513902977223,0.46082465450211413,0.4987188446307943,91.0
43,0.3,0.7,0.5080703385993466,0.424569583599308,0.782118517392516,24.65
43,0.5,0.5,0.5080703385993466,0.424569583599308,0.5484526242367136,56.5
43,0.7,0.3,0.5080703385993466,0.424569583599308,0.4260204081632653,81.75
44,0.3,0.7,0.35661764705882354,0.3663513357825881,0.8547866170010934,27.05
44,0.5,0.5,0.35661764705882354,0.3663513357825881,0.5111697099358177,59.25
44,0.7,0.3,0.35661764705882354,0.3663513357825881,0.42070917524962653,88.6
45,0.3,0.7,0.34123895225623835,0.3404577485294974,0.8052192138146279,29.35
45,0.5,0.5,0.34123895225623835,0.3404577485294974,0.3802968349863467,65.65
45,0.7,0.3,0.34123895225623835,0.3404577485294974,0.34324030445813697,93.1
46,0.3,0.7,0.3892931392931393,0.3628224605082671,0.7777777777777777,43.95
46,0.5,0.5,0.3892931392931393,0.3628224605082671,0.4019527635569878,75.0
46,0.7,0.3,0.3892931392931393,0.3628224605082671,0.38761945234437145,89.3
47,0.3,0.7,0.41481399444823536,0.3806333006262972,0.7322623828647925,33.7
47,0.5,0.5,0.41481399444823536,0.3806333006262972,0.5139594966247187,67.65
47,0.7,0.3,0.41481399444823536,0.3806333006262972,0.41481399444823536,93.75
48,0.3,0.7,0.3392070484581498,0.3429940056669589,0.6595967530767216,25.0
48,0.5,0.5,0.3392070484581498,0.3429940056669589,0.4090667280125376,50.7
48,0.7,0.3,0.3392070484581498,0.3429940056669589,0.3392070484581498,71.5
49,0.3,0.7,0.34589558719729196,0.3348115299334812,0.7200956937799043,35.75
49,0.5,0.5,0.34589558719729196,0.3348115299334812,0.35238486842105265,70.4
49,0.7,0.3,0.34589558719729196,0.3348115299334812,0.3348115299334812,95.15
50,0.3,0.7,0.3174061433447099,0.3227990970654628,0.7094565794166514,25.25
50,0.5,0.5,0.3174061433447099,0.3227990970654628,0.3333595321370007,57.6
50,0.7,0.3,0.3174061433447099,0.3227990970654628,0.3212669683257919,91.15
51,0.3,0.7,0.3333333333333333,0.3325917686318131,0.7307224433395141,26.6
51,0.5,0.5,0.3333333333333333,0.3325917686318131,0.3491934074893716,63.35
51,0.7,0.3,0.3333333333333333,0.3325917686318131,0.3347626879699248,89.35
