sweep,param,value,hif_score_mean,hif_score_se,violation_rate_mean,violation_rate_se
hub_count,K,1.0,0.9785999999999999,0.00028284271247460747,0.0039,0.000291547594742265
hub_count,K,3.0,0.9817,0.00021679483388678457,0.0036,9.999999999999999e-05
hub_count,K,5.0,0.9841,0.0001843908891458555,0.0036999999999999997,0.0001224744871391589
hub_count,K,10.0,0.9866199999999999,0.000747930478052604,0.0106,0.001041633332799983
hub_count,K,15.0,0.9866199999999999,0.000747930478052604,0.0106,0.001041633332799983
confidence_percentile,percentile,1.0,0.98482,0.00016552945357247104,0.0036999999999999997,0.0001224744871391589
confidence_percentile,percentile,3.0,0.98458,0.0001772004514666953,0.0036999999999999997,0.0001224744871391589
confidence_percentile,percentile,5.0,0.9841,0.0001843908891458555,0.0036999999999999997,0.0001224744871391589
confidence_percentile,percentile,10.0,0.98146,0.00018330302779823336,0.0048,0.0002
violation_threshold,threshold,0.3,0.9841,0.0001843908891458555,0.0081,0.00018708286933869726
violation_threshold,threshold,0.5,0.9841,0.0001843908891458555,0.0036999999999999997,0.0001224744871391589
violation_threshold,threshold,0.7,0.9841,0.0001843908891458555,0.0021000000000000003,0.0001
