dataset,generator,target,arm,seed,target_is_hub,hubs,retention,f1_full,f1_filtered
census_acs,vine,household_income,C_blind,45,False,poverty_status|housing_cost|education|household_size|tenure,93.05,0.5004919397563006,0.4890207362515172
census_acs,vine,household_income,A_published,46,True,household_income|poverty_status|housing_cost|education|age_group,75.35,0.5292467948717949,0.7083260414843704
census_acs,vine,household_income,B_no_hub,46,False,poverty_status|housing_cost|education|age_group|tenure,88.7,0.5292467948717949,0.479994222158024
census_acs,vine,household_income,C_blind,46,False,poverty_status|housing_cost|education|tenure|age_group,92.7,0.5292467948717949,0.5281118080432203
census_acs,vine,household_income,A_published,47,True,household_income|poverty_status|housing_cost|tenure|education,77.35,0.4667495016955295,0.6556243735704557
census_acs,vine,household_income,B_no_hub,47,False,poverty_status|housing_cost|tenure|education|household_size,89.25,0.4667495016955295,0.4672454617205999
census_acs,vine,household_income,C_blind,47,False,poverty_status|housing_cost|education|tenure|household_size,93.05,0.4667495016955295,0.4590783527317699
census_acs,vine,household_income,A_published,48,True,household_income|poverty_status|housing_cost|education|tenure,75.05,0.4415906609510739,0.6320085641643249
census_acs,vine,household_income,B_no_hub,48,False,poverty_status|housing_cost|education|tenure|household_size,86.8,0.4415906609510739,0.4705946207737335
census_acs,vine,household_income,C_blind,48,False,housing_cost|poverty_status|education|tenure|household_size,93.5,0.4415906609510739,0.42831904130936604
census_acs,vine,household_income,A_published,49,True,household_income|housing_cost|poverty_status|education|household_size,76.55,0.46310386745306376,0.6627938034188035
census_acs,vine,household_income,B_no_hub,49,False,housing_cost|poverty_status|education|household_size|age_group,88.3,0.46310386745306376,0.46337671456154866
census_acs,vine,household_income,C_blind,49,False,housing_cost|poverty_status|education|household_size|age_group,92.4,0.46310386745306376,0.5028997514498756
census_acs,vine,household_income,A_published,50,True,household_income|housing_cost|poverty_status|education|household_size,76.35,0.4540521739130435,0.6763070077864294
census_acs,vine,household_income,B_no_hub,50,False,housing_cost|poverty_status|education|household_size|tenure,86.85000000000001,0.4540521739130435,0.43666040733785927
census_acs,vine,household_income,C_blind,50,False,poverty_status|housing_cost|education|age_group|household_size,94.8,0.4540521739130435,0.488320541346867
census_acs,vine,household_income,A_published,51,True,household_income|housing_cost|poverty_status|education|household_size,79.75,0.39181286549707606,0.6445645916247403
census_acs,vine,household_income,B_no_hub,51,False,housing_cost|poverty_status|education|household_size|tenure,90.0,0.39181286549707606,0.4042702310330154
