dataset,generator,seed,target,task,hif_score,violation_rate,ks_score,tstr_score,trr_score,tstr_ratio,time_s
adult,ctgan,44,age,regression,0.4461,0.57,65.25,-0.2154,-0.1746,-1.2338,19.1
adult,ctgan,44,hours_per_week,regression,0.4461,0.57,65.25,-0.3254,-0.1877,-1.7334,19.1
adult,ctgan,44,income,classification,0.4461,0.57,65.25,0.465,0.646,0.7198,19.1
adult,ctgan,44,workclass,classification,0.4461,0.57,65.25,0.1454,0.1569,0.9262,19.1
adult,ctgan,44,occupation,classification,0.4461,0.57,65.25,0.0808,0.1462,0.5525,19.1
adult,tvae,42,age,regression,0.9499,0.05,61.099999999999994,-0.4024,-0.3709,-1.085,3.2
adult,tvae,42,hours_per_week,regression,0.9499,0.05,61.099999999999994,-0.0123,0.0807,-0.152,3.2
adult,tvae,42,income,classification,0.9499,0.05,61.099999999999994,0.4275,0.634,0.6742,3.2
adult,tvae,42,workclass,classification,0.9499,0.05,61.099999999999994,0.138,0.174,0.7932,3.2
adult,tvae,42,occupation,classification,0.9499,0.05,61.099999999999994,0.0631,0.0833,0.7567,3.2
adult,tvae,43,age,regression,0.9975,0.0,61.8,-0.5282,0.0831,-6.3568,4.9
adult,tvae,43,hours_per_week,regression,0.9975,0.0,61.8,-0.0016,0.1998,-0.0079,4.9
adult,tvae,43,income,classification,0.9975,0.0,61.8,0.4361,0.5987,0.7283,4.9
adult,tvae,43,workclass,classification,0.9975,0.0,61.8,0.1365,0.1878,0.7268,4.9
adult,tvae,43,occupation,classification,0.9975,0.0,61.8,,,,4.9
adult,tvae,44,age,regression,0.9927,0.0,60.6,-0.2283,-0.1746,-1.308,4.7
adult,tvae,44,hours_per_week,regression,0.9927,0.0,60.6,-0.0145,-0.1877,-0.0774,4.7
adult,tvae,44,income,classification,0.9927,0.0,60.6,0.4297,0.646,0.6651,4.7
adult,tvae,44,workclass,classification,0.9927,0.0,60.6,0.1454,0.1569,0.9262,4.7
adult,tvae,44,occupation,classification,0.9927,0.0,60.6,0.0536,0.1462,0.3664,4.7
bls,gaussian,42,total_employment,regression,0.7081,0.286,86.725,0.3718,0.8294,0.4482,0.0
bls,gaussian,42,establishments,regression,0.7081,0.286,86.725,0.5584,0.8447,0.661,0.0
bls,gaussian,42,avg_weekly_wage,regression,0.7081,0.286,86.725,0.0597,0.0214,2.7873,0.0
bls,gaussian,42,ownership,classification,0.7081,0.286,86.725,1.0,1.0,1.0,0.0
bls,gaussian,42,quarter,classification,0.7081,0.286,86.725,0.1745,0.3198,0.5455,0.0
bls,gaussian,42,year,classification,0.7081,0.286,86.725,0.1876,0.4192,0.4476,0.0
bls,gaussian,43,total_employment,regression,0.7943,0.158,85.1,-4.5232,0.643,-7.034,0.0
bls,gaussian,43,establishments,regression,0.7943,0.158,85.1,0.1028,0.935,0.1099,0.0
bls,gaussian,43,avg_weekly_wage,regression,0.7943,0.158,85.1,0.0302,-0.0314,0.9605,0.0
bls,gaussian,43,ownership,classification,0.7943,0.158,85.1,1.0,1.0,1.0,0.0
bls,gaussian,43,quarter,classification,0.7943,0.158,85.1,0.2326,0.2357,0.9871,0.0
bls,gaussian,43,year,classification,0.7943,0.158,85.1,0.1815,0.2885,0.6294,0.0
bls,gaussian,44,total_employment,regression,0.695,0.272,84.9,-3.2727,0.8472,-3.8631,0.0
bls,gaussian,44,establishments,regression,0.695,0.272,84.9,0.0308,0.8578,0.0359,0.0
bls,gaussian,44,avg_weekly_wage,regression,0.695,0.272,84.9,0.013,-0.4284,0.0304,0.0
bls,gaussian,44,ownership,classification,0.695,0.272,84.9,1.0,1.0,1.0,0.0
bls,gaussian,44,quarter,classification,0.695,0.272,84.9,0.2509,0.2518,0.9963,0.0
bls,gaussian,44,year,classification,0.695,0.272,84.9,0.2274,0.3058,0.7435,0.0
bls,ctgan,42,total_employment,regression,0.7795,0.194,76.2,-0.056,0.8294,-0.0675,16.5
bls,ctgan,42,establishments,regression,0.7795,0.194,76.2,-0.0638,0.8447,-0.0756,16.5
bls,ctgan,42,avg_weekly_wage,regression,0.7795,0.194,76.2,-0.3771,0.0214,-17.611,16.5
bls,ctgan,42,ownership,classification,0.7795,0.194,76.2,1.0,1.0,1.0,16.5
bls,ctgan,42,quarter,classification,0.7795,0.194,76.2,0.1817,0.3198,0.568,16.5
bls,ctgan,42,year,classification,0.7795,0.194,76.2,0.1212,0.4192,0.2891,16.5
bls,ctgan,43,total_employment,regression,0.6642,0.312,72.725,-0.9372,0.643,-1.4575,16.6
bls,ctgan,43,establishments,regression,0.6642,0.312,72.725,-0.4547,0.935,-0.4864,16.6
bls,ctgan,43,avg_weekly_wage,regression,0.6642,0.312,72.725,-0.0706,-0.0314,-2.2474,16.6
bls,ctgan,43,ownership,classification,0.6642,0.312,72.725,1.0,1.0,1.0,16.6
bls,ctgan,43,quarter,classification,0.6642,0.312,72.725,0.1557,0.2357,0.6608,16.6
bls,ctgan,43,year,classification,0.6642,0.312,72.725,0.1627,0.2885,0.5641,16.6
bls,ctgan,44,total_employment,regression,0.7362,0.248,77.32499999999999,-0.083,0.8472,-0.098,14.0
bls,ctgan,44,establishments,regression,0.7362,0.248,77.32499999999999,0.0001,0.8578,0.0001,14.0
bls,ctgan,44,avg_weekly_wage,regression,0.7362,0.248,77.32499999999999,-0.5651,-0.4284,-1.3191,14.0
bls,ctgan,44,ownership,classification,0.7362,0.248,77.32499999999999,1.0,1.0,1.0,14.0
bls,ctgan,44,quarter,classification,0.7362,0.248,77.32499999999999,0.234,0.2518,0.9291,14.0
bls,ctgan,44,year,classification,0.7362,0.248,77.32499999999999,0.0978,0.3058,0.32,14.0
bls,tvae,42,total_employment,regression,0.6569,0.358,76.875,-0.0463,0.8294,-0.0558,2.2
bls,tvae,42,establishments,regression,0.6569,0.358,76.875,-0.0388,0.8447,-0.0459,2.2
bls,tvae,42,avg_weekly_wage,regression,0.6569,0.358,76.875,-0.5109,0.0214,-23.8614,2.2
bls,tvae,42,ownership,classification,0.6569,0.358,76.875,1.0,1.0,1.0,2.2
bls,tvae,42,quarter,classification,0.6569,0.358,76.875,0.1814,0.3198,0.5672,2.2
bls,tvae,42,year,classification,0.6569,0.358,76.875,0.0944,0.4192,0.2251,2.2
bls,tvae,43,total_employment,regression,0.9402,0.042,79.60000000000001,-0.0348,0.643,-0.0541,1.9
