seed,error_type,corruption_level,method,f1,precision,recall,roc_auc,pr_auc,n_flagged,n_true_errors
42,random_injection,0.4,HIF,0.3634517766497462,0.9675675675675676,0.22375,0.9045567708333332,0.8781584364667911,185,800
42,random_injection,0.4,IsolationForest,0.4122228879568604,0.3958573072497123,0.43,0.5066270833333333,0.40187645929218746,869,800
42,random_injection,0.4,LOF,0.6226787830896878,0.45522819179664936,0.985,0.8567989583333333,0.8271074826741553,1731,800
42,random_injection,0.4,GMM,0.624198717948718,0.45931603773584906,0.97375,0.8754166666666666,0.8424702226334083,1696,800
42,semantic_hallucination,0.4,HIF,0.2185430463576159,0.9339622641509434,0.12375,0.8322984375,0.7950158081626664,106,800
42,semantic_hallucination,0.4,IsolationForest,0.4266826923076923,0.41087962962962965,0.44375,0.5176989583333333,0.42085206049231577,864,800
42,semantic_hallucination,0.4,LOF,0.6010362694300518,0.441193680514921,0.9425,0.7237614583333334,0.6578135622574297,1709,800
42,semantic_hallucination,0.4,GMM,0.6121457489878542,0.45269461077844314,0.945,0.8312052083333334,0.8116706300458573,1670,800
42,row_duplication,0.4,HIF,0.0196078431372549,0.5,0.01,0.5098005208333334,0.40870258359384387,16,800
42,row_duplication,0.4,IsolationForest,0.41816009557945044,0.40045766590389015,0.4375,0.49512395833333334,0.3958349211592366,874,800
42,row_duplication,0.4,LOF,0.5444031391986782,0.40653917334978407,0.82375,0.5163713541666667,0.4211933892519565,1621,800
42,row_duplication,0.4,GMM,0.5254969749351772,0.40158520475561427,0.76,0.5134145833333333,0.42120840068518617,1514,800
42,feature_dropout,0.4,HIF,0.07857142857142857,0.825,0.04125,0.659903125,0.5932594170856249,40,800
42,feature_dropout,0.4,IsolationForest,0.1582931865106676,0.17611026033690658,0.14375,0.26097604166666666,0.2779039818584725,653,800
42,feature_dropout,0.4,LOF,0.515177065767285,0.388676844783715,0.76375,0.47059062499999993,0.38053705713476516,1572,800
42,feature_dropout,0.4,GMM,0.5769388592531801,0.42944410507025044,0.87875,0.5902437500000001,0.4722222259492435,1637,800
42,covariate_shift,0.4,HIF,0.019583843329253364,0.47058823529411764,0.01,0.2933614583333333,0.36354529577401434,17,800
42,covariate_shift,0.4,IsolationForest,0.3946406820950061,0.3847980997624703,0.405,0.48022708333333336,0.4161492783774751,842,800
42,covariate_shift,0.4,LOF,0.2797270955165692,0.2292332268370607,0.35875,0.21308333333333332,0.2666796551277081,1252,800
42,covariate_shift,0.4,GMM,0.3157894736842105,0.25878594249201275,0.405,0.253534375,0.2771943211139439,1252,800
43,random_injection,0.4,HIF,0.3619817997977755,0.9470899470899471,0.22375,0.8999052083333333,0.8624985574069997,189,800
